n,SMILE,class
169,O=C1C(=NCCN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)CC(=O)c2c(O)cccc21,1.0
170,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OCCCCCCN3CCCCC3)cc2)cc1,1.0
171,COc1cc2oc(C(=O)NC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC,1.0
172,O=C(NN=Cc1ccc(F)cc1)N1CCN(c2ccccn2)CC1,0.0
173,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(Cc2cc(Cl)cc(C=NO)c2O)CC1,0.0
174,Cc1cccc(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)c1,1.0
175,COc1cc2[se]n(CCCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,1.0
176,NC(CCCCn1cc(-c2ccccc2)nn1)C(=O)NCC1CCN(Cc2ccccc2)CC1,0.0
177,N#Cc1c(Cl)[nH]c(=NC2CCN(Cc3ccccc3)CC2)c(C#N)c1-c1ccccc1,0.0
178,COc1cc2c(cc1O)C(Cc1ccc(O)c(Oc3cc(CC4c5cc(O)c(OC)cc5CCN4C)ccc3OC)c1)N(C)CC2,0.0
179,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)COC(C2)O3)cc1,0.0
180,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-n4ccnc4)cc3)C2)cc1OC,0.0
181,COC1OC(C2c3cc4c(cc3CCN2C)OCO4)c2ccc3c(c21)OCO3,0.0
182,COc1cc(C=CC(=O)N2CCc3ccccc3C2)ccc1OC(=O)N(C)C,0.0
183,CCN(CCCCCC(=O)Nc1ccc(Cc2ccc(NC(=O)CCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,1.0
184,CC(=O)N=c1[nH]c(=NCc2ccccc2)c2ccccc2[nH]1,0.0
185,CC1=C(CC(=O)NCCCNCCC=Nc2cc(O)c(NCCCNCCCNC(=O)C=C3C(C)=C(Cc4ccc([S+](C)O)cc4)c4ccc(F)cc43)cc2O)c2cc(F)ccc2C1=Cc1ccc([S+](C)O)cc1,0.0
186,NC(=O)c1cc[n+](CCCC[n+]2cccc(NC(=O)C=NO)c2)cc1,0.0
187,COc1ccc2c(c1)CCC(CC1C=CN(Cc3cccc(F)c3)C=C1C(C)=O)C2=O,0.0
188,O=C(Nc1ccccc1)OC1CCCN(C2Cc3ccccc3C2)C1,0.0
189,O=c1oc2cc(OCCCCN3CCN(Cc4ccccc4)CC3)ccc2c2ccccc12,0.0
190,CN1CCC2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)C12,1.0
191,NC(Cc1c[nH]c2ccccc12)C(=O)NCCCN=c1c2c([nH]c3ccccc13)CCCC2,1.0
192,COc1ccc(C=NNC(=O)CN2CCC(Cc3ccccc3)CC2)cc1,0.0
193,COc1cc2c(cc1OC)C(NC(=O)CN1CCN(Cc3ccccc3F)CC1)c1cnn(C)c1-2,0.0
194,CCCCCCCCCCCCCN=c1c2c([nH]c3ccc(OC)cc13)CCCC2,0.0
195,CCCCCC=CCC=CCCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1,0.0
196,CN(CCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,0.0
197,COc1cc2[se]n(CCCCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,1.0
198,COc1ccc(CCOCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1,1.0
199,c1ccc2oc(CN(CCCCCCCN=c3c4c([nH]c5ccccc35)CCC4)Cc3cc4ccccc4o3)cc2c1,1.0
200,CCN(CCCCCC=Nc1c(O)c(Cl)c(NCCCCCCN(CC)Cc2ccccc2OC)c(O)c1Cl)Cc1ccccc1OC,1.0
201,COc1cc2[se]n(-c3ccc(OCCCCN4CCCCC4)cc3)c(=O)c2cc1OC,0.0
202,COc1cccc2cc[n+](-c3ccccc3Cl)cc12,0.0
203,Nc1cc(O)c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc1Cl,1.0
204,COc1cccc(CNC2CCN(Cc3ccccc3)CC2)c1OC,0.0
205,Cc1ccc(C)c(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)c1,1.0
206,CN(CCCCCCOc1ccc(C=C2COc3ccccc3C2=O)cc1)Cc1ccccc1,0.0
207,CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,1.0
208,CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2ccccc2)cc1)Cc1ccccc1,0.0
209,C#CCNCCc1cccc(OC(=O)N(C)CCC)c1,0.0
210,CCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(CC)C1C2,1.0
211,COc1c2c(cc3c1OCO3)C13C=CC(OC)CC1N(C2)CC3OC(=O)c1ccco1,0.0
212,CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2cccnc2)cc1O)Cc1cccnc1,1.0
213,O=C(N=c1[nH]c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)s1)C1CCN(Cc2ccc(OC(F)(F)F)cc2)CC1,0.0
